text,true_label,pred_label
whats the problem what are you stupid its not politically correct to note that in wikipedia dont you know that havent you been around wikipedia long enough to know that it has lost its edge and now just gives dumbeddown articles on people and events you cant find anything of note on here any more wikipedia is now the domain of busybodies nothing controversial can be noted here and certainly nothing negative can be put in any article now go buzz off,0,1
fuckkkkkkkkkk fuckkkkkkkkkk usa fuckkkkkkkkkkkkkk,0,1
daanschr that is the most idiotic argument for the use of british spellings on a page that ive ever heard this even is quite minor in british history it isnt even mentioned on the british history pages however it is considered to be one of the most important events in american history more important than the civil war or world war two even,0,1
you are a total ignoramus your user name or ip address has been blocked from editingyou were blocked by ayarktos for the following reason see our blocking policy personal attack reference to immature editing on tal page gundagai has been warnedyour ip address is 20354186143 and a fool and a crawler grow up,0,1
i am going to eat your toes,0,1
no fuck it i should have known it still wasnt worth trying to work with this site i spend like an hour going through the game to make sure my information is straight and i make an actually passable attempt at writing and all for nothing just because some random asshole isnt familiar with the subject yeah like im really gonna make shit up about how a 1995 wrestling video game is played wikipedia isnt about truth and adding useful information its about what a few random jerkoffs may or may not know and if they didnt write it its a lie the saddest part is that people are starting to take this site as a top source instead of real encyclopedias,0,1
another sucka found you,0,1
blocking mei dont understand youre motivation for blocking me you say i made personal attacks and the link i followed was the qiyamah talk pagei presume you mean my comment that universaliss was vandalizing it im not sure if you were confused or simply refrained from viewing his last two edits his last two edits were what motivated me to my accusation he replaced the page with utter nonsense after you blocked me you didnt even rv his vandalism i assume your decision to block me was an accidentbut it does seem suspectespecially considering your recent and persistent need to engage me in convos which really dont concern you woohookity and that vfd consensus i read your comment at southerncomforts talkpage and i think you should know that i have not mislead her as i have never talked to this user you said you blocked universaliss for a weekdo you mean you blocked himher yesterday and this will last for a week no matter i simply want that user to stop 1 reverting to oldoutdated versions of the page which contain grammatical and technical inaccuracies 2 stop the personal attacks and religious attacks towards protestants jews and ahmadis 3and stop deleting information that heshe disagrees with i really dont think this is asking that much in terms of diffusing the situationi tried to add in a passage that all parties could agree to his response was too massively delete info in various sections and add in comments like you fucking troll 0326 august 1 2005 utc,0,1
mongo is a motherfuckerer,0,1
gay iconi was wondering why she is considered a gay icon,1,0
what i never agreed with you you clearly know nothing about baseball or you do not understand english i am just glad you dont live in this country because people like you dont belong i am making your day haha you are a sad sad human being,1,0
drmies deleted frankie stein from monster high drmies is the f word,0,1
thanks and who is the motherfucker who nominated it for deletion well let me guess,0,1
dont act ok i know sadasivans works his only ambition in his life was to degrade nairs what the fuck you think is the meaning of that passage i am just asking you if the word nair came from the word dog then give me a secondary source supporting that other than that from the mental case sadasivan,0,1
