text,true_label,pred_label
fuckkkkkkkkkk fuckkkkkkkkkk usa fuckkkkkkkkkkkkkk,0,1
daanschr that is the most idiotic argument for the use of british spellings on a page that ive ever heard this even is quite minor in british history it isnt even mentioned on the british history pages however it is considered to be one of the most important events in american history more important than the civil war or world war two even,0,1
thrown cat off of the cliff not fake yeah cause special effects were that good back then that cat was thrown off by some heartless person like the heartless xtian germans who gassed the jews in the worst crime in human history imaginable the holocaust211284132,1,0
followed by usermakecat so they have aids in china grats now the black supremacist usermalik shabazz wants to get in on it well monkeys and all,1,0
i am going to eat your toes,0,1
blocking mei dont understand youre motivation for blocking me you say i made personal attacks and the link i followed was the qiyamah talk pagei presume you mean my comment that universaliss was vandalizing it im not sure if you were confused or simply refrained from viewing his last two edits his last two edits were what motivated me to my accusation he replaced the page with utter nonsense after you blocked me you didnt even rv his vandalism i assume your decision to block me was an accidentbut it does seem suspectespecially considering your recent and persistent need to engage me in convos which really dont concern you woohookity and that vfd consensus i read your comment at southerncomforts talkpage and i think you should know that i have not mislead her as i have never talked to this user you said you blocked universaliss for a weekdo you mean you blocked himher yesterday and this will last for a week no matter i simply want that user to stop 1 reverting to oldoutdated versions of the page which contain grammatical and technical inaccuracies 2 stop the personal attacks and religious attacks towards protestants jews and ahmadis 3and stop deleting information that heshe disagrees with i really dont think this is asking that much in terms of diffusing the situationi tried to add in a passage that all parties could agree to his response was too massively delete info in various sections and add in comments like you fucking troll 0326 august 1 2005 utc,0,1
gay iconi was wondering why she is considered a gay icon,1,0
dont you racists have better things to do than edit war over cited material,1,0
enjoying the creepy messages enjoying all these creepy messages son,1,0
thanks and who is the motherfucker who nominated it for deletion well let me guess,0,1
yes i read it and i understand it now thats why i ddnt repeat the word up there it would not bother me if someone did that to me i believe in sticks and stones will break my bones but words can never hurt me but now i know the rules and will not call people names even when it is true but i still believe that having him glote over getting me blocked is childish and i meant what i said but if he is an adminstrator and thinks it is ok to glote then he is probably going to always be a childdish person he has a bigger problem than i do its kind of like the joke my teacher told us when the ugly guy made fun of the fat guy for being fat and the fat guy said that he could diet and change but the ugly guy will always be ugly what flewis did when he lied and accused me of not leaving summarys and when he left that glote and all the other things shows that he is like the ugly guy i feel sorry for him,1,0
